Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1,"University of Oxford ,United Kingdom",98.2,97.2,100.0,97.7,99.9,96.4
2,"Massachusetts Institute of Technology ,United States",97.7,99.2,95.3,99.6,100.0,91.9
=3,"Princeton University ,United States",97.2,98.2,97.3,99.0,98.0,85.4
=3,"University of Cambridge ,United Kingdom",97.2,96.2,99.9,97.1,87.6,96.3
=5,"Harvard University ,United States",97.1,95.9,100.0,98.9,86.7,88.3
=5,"Stanford University ,United States",97.1,97.5,97.4,99.5,100.0,83.9
7,"California Institute of Technology ,United States",96.3,96.4,97.4,96.8,100.0,87.9
8,"Imperial College London ,United Kingdom",94.7,90.6,94.9,98.0,91.9,98.2
9,"University of California, Berkeley ,United States",94.4,87.3,99.0,98.9,99.5,83.9
10,"Yale University ,United States",94.1,94.6,94.5,97.2,87.6,81.4
11,"ETH Zurich ,Switzerland",93.1,88.5,97.2,94.5,83.7,95.1
12,"Tsinghua University ,China",93.0,95.9,98.5,93.9,100.0,53.4
13,"Peking University ,China",92.3,95.4,97.9,89.0,100.0,67.3
14,"University of Pennsylvania ,United States",90.8,88.1,90.3,96.1,97.9,78.4
15,"The University of Chicago ,United States",90.6,89.6,90.1,96.8,76.4,79.7
16,"Johns Hopkins University ,United States",90.1,84.6,89.9,96.3,100.0,81.9
17,"National University of Singapore ,Singapore",89.7,78.6,93.1,95.1,99.9,92.8
=18,"Cornell University ,United States",89.5,85.9,90.6,95.9,70.3,83.5
=18,"University of California, Los Angeles ,United States",89.5,86.0,91.4,95.6,93.5,69.2
20,"Columbia University ,United States",89.4,87.8,87.8,95.9,74.8,83.7
21,"University of Toronto ,Canada",88.5,78.2,92.9,92.3,95.8,92.3
22,"UCL ,United Kingdom",87.5,77.8,85.9,97.6,74.7,97.5
23,"University of Michigan-Ann Arbor ,United States",86.9,85.7,87.3,93.8,81.4,65.8
24,"Carnegie Mellon University ,United States",85.0,72.7,83.0,99.0,85.5,84.3
25,"University of Washington ,United States",83.7,77.0,80.0,97.6,81.6,70.1
26,"The University of Tokyo ,Japan",83.5,94.7,94.2,68.2,100.0,50.8
27,"Technical University of Munich ,Germany",83.4,71.9,84.8,91.3,100.0,83.4
