,World Rank,University Name,Country,University Website,Overall Score,Teaching Quality,Research Environment,Reasearch Quality,Industy,International Outlook
0,1,University of Oxford ,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-oxford,98.2,97.2,100.0,97.7,99.9,96.4
1,2,Massachusetts Institute of Technology ,United States,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology,97.7,99.2,95.3,99.6,100.0,91.9
2,3,Princeton University ,United States,https://www.timeshighereducation.com/world-university-rankings/princeton-university,97.2,98.2,97.3,99.0,98.0,85.4
3,3,University of Cambridge ,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/university-cambridge,97.2,96.2,99.9,97.1,87.6,96.3
4,5,Harvard University ,United States,https://www.timeshighereducation.com/world-university-rankings/harvard-university,97.1,95.9,100.0,98.9,86.7,88.3
5,5,Stanford University ,United States,https://www.timeshighereducation.com/world-university-rankings/stanford-university,97.1,97.5,97.4,99.5,100.0,83.9
6,7,California Institute of Technology ,United States,https://www.timeshighereducation.com/world-university-rankings/california-institute-technology,96.3,96.4,97.4,96.8,100.0,87.9
7,8,Imperial College London ,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/imperial-college-london,94.7,90.6,94.9,98.0,91.9,98.2
8,9,University of California, Berkeley ,https://www.timeshighereducation.com/world-university-rankings/university-california-berkeley,94.4,87.3,99.0,98.9,99.5,83.9
9,10,Yale University ,United States,https://www.timeshighereducation.com/world-university-rankings/yale-university,94.1,94.6,94.5,97.2,87.6,81.4
10,11,ETH Zurich ,Switzerland,https://www.timeshighereducation.com/world-university-rankings/eth-zurich,93.1,88.5,97.2,94.5,83.7,95.1
11,12,Tsinghua University ,China,https://www.timeshighereducation.com/world-university-rankings/tsinghua-university,93.0,95.9,98.5,93.9,100.0,53.4
12,13,Peking University ,China,https://www.timeshighereducation.com/world-university-rankings/peking-university,92.3,95.4,97.9,89.0,100.0,67.3
13,14,University of Pennsylvania ,United States,https://www.timeshighereducation.com/world-university-rankings/university-pennsylvania,90.8,88.1,90.3,96.1,97.9,78.4
14,15,The University of Chicago ,United States,https://www.timeshighereducation.com/world-university-rankings/university-chicago,90.6,89.6,90.1,96.8,76.4,79.7
15,16,Johns Hopkins University ,United States,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university,90.1,84.6,89.9,96.3,100.0,81.9
16,17,National University of Singapore ,Singapore,https://www.timeshighereducation.com/world-university-rankings/national-university-singapore,89.7,78.6,93.1,95.1,99.9,92.8
17,18,Cornell University ,United States,https://www.timeshighereducation.com/world-university-rankings/cornell-university,89.5,85.9,90.6,95.9,70.3,83.5
18,18,University of California, Los Angeles ,https://www.timeshighereducation.com/world-university-rankings/university-california-los-angeles,89.5,86.0,91.4,95.6,93.5,69.2
19,20,Columbia University ,United States,https://www.timeshighereducation.com/world-university-rankings/columbia-university,89.4,87.8,87.8,95.9,74.8,83.7
20,21,University of Toronto ,Canada,https://www.timeshighereducation.com/world-university-rankings/university-toronto,88.5,78.2,92.9,92.3,95.8,92.3
21,22,UCL ,United Kingdom,https://www.timeshighereducation.com/world-university-rankings/ucl,87.5,77.8,85.9,97.6,74.7,97.5
22,23,University of Michigan-Ann Arbor ,United States,https://www.timeshighereducation.com/world-university-rankings/university-michigan-ann-arbor,86.9,85.7,87.3,93.8,81.4,65.8
23,24,Carnegie Mellon University ,United States,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university,85.0,72.7,83.0,99.0,85.5,84.3
24,25,University of Washington ,United States,https://www.timeshighereducation.com/world-university-rankings/university-washington,83.7,77.0,80.0,97.6,81.6,70.1
25,26,The University of Tokyo ,Japan,https://www.timeshighereducation.com/world-university-rankings/university-tokyo,83.5,94.7,94.2,68.2,100.0,50.8
26,27,Technical University of Munich ,Germany,https://www.timeshighereducation.com/world-university-rankings/technical-university-munich,83.4,71.9,84.8,91.3,100.0,83.4
